title,tyear,duration,score
Poseidon ,2006,98,5.6
Alice Through the Looking Glass ,2016,113,6.4
Shrek the Third ,2007,93,6.1
Warcraft ,2016,123,7.3
Terminator Genisys ,2015,126,6.6
The Chronicles of Narnia: The Voyage of the Dawn Treader ,2010,113,6.3
Pearl Harbor ,2001,184,6.1
Transformers ,2007,144,7.1
Alexander ,2004,206,5.5
Harry Potter and the Order of the Phoenix ,2007,138,7.5
Harry Potter and the Goblet of Fire ,2005,157,7.6
Hancock ,2008,102,6.4
I Am Legend ,2007,104,7.2
Charlie and the Chocolate Factory ,2005,115,6.7
Ratatouille ,2007,111,8
Batman Begins ,2005,128,8.3
Madagascar: Escape 2 Africa,2008,89,6.7
Night at the Museum: Battle of the Smithsonian ,2009,105,5.9
X-Men Origins: Wolverine ,2009,119,6.7
The Matrix Revolutions ,2003,129,6.7
Frozen ,2013,102,7.6
The Matrix Reloaded ,2003,138,7.2
Thor: The Dark World ,2013,112,7.1
Mad Max: Fury Road ,2015,120,8.1
Angels & Demons ,2009,146,6.7
Thor ,2011,115,7
Bolt ,2008,96,6.9
G-Force ,2009,88,5.1
Wrath of the Titans ,2012,99,5.8
Dark Shadows ,2012,113,6.2
Mission: Impossible - Rogue Nation ,2015,131,7.4
The Wolfman ,2010,119,5.8
The Legend of Tarzan ,2016,110,6.6
Bee Movie ,2007,91,6.2
Kung Fu Panda 2,2011,90,7.3
The Last Airbender ,2010,103,4.2
Mission: Impossible III ,2006,124,6.9
White House Down ,2013,131,6.4
Mars Needs Moms ,2011,88,5.4
Flushed Away ,2006,85,6.7
Pan ,2015,111,5.8
Mr. Peabody & Sherman ,2014,92,6.9
Troy ,2004,196,7.2
Madagascar 3: Europe's Most Wanted,2012,93,6.9
Die Another Day ,2002,133,6.1
Ghostbusters ,2016,116,5.5
Armageddon ,1998,153,6.6
Men in Black II ,2002,88,6.1
Beowulf ,2007,115,6.3
Kung Fu Panda 3,2016,95,7.2
Mission: Impossible - Ghost Protocol ,2011,133,7.4
Rise of the Guardians ,2012,97,7.3
Fun with Dick and Jane ,2005,90,6.1
The Last Samurai ,2003,154,7.7
Exodus: Gods and Kings ,2014,150,6.1
Star Trek ,2009,127,8
Spider-Man ,2002,121,7.3
How to Train Your Dragon 2,2014,102,7.9
Gods of Egypt ,2016,126,5.5
Stealth ,2005,121,5
Watchmen ,2009,215,7.7
Lethal Weapon 4,1998,127,6.6
Hulk ,2003,138,5.7
G.I. Joe: Retaliation ,2013,122,5.8
Sahara ,2005,124,6
Final Fantasy: The Spirits Within ,2001,106,6.4
Captain America: The First Avenger ,2011,124,6.9
The World Is Not Enough ,1999,128,6.4
Master and Commander: The Far Side of the World ,2003,138,7.4
The Twilight Saga: Breaking Dawn - Part 2,2012,115,5.5
Happy Feet 2,2011,100,5.9
The Incredible Hulk ,2008,135,6.8
Miami Vice             ,,60,7.5
The BFG ,2016,117,6.8
The Revenant ,2015,156,8.1
Turbo ,2013,96,6.5
Rango ,2011,107,7.2
Penguins of Madagascar ,2014,92,6.7
The Bourne Ultimatum ,2007,115,8.1
Kung Fu Panda ,2008,92,7.6
Ant-Man ,2015,117,7.4
The Hunger Games: Catching Fire ,2013,146,7.6
The Twilight Saga: Breaking Dawn - Part 2,2012,115,5.5
Home ,2015,94,6.7
War of the Worlds ,2005,116,6.5
Bad Boys II ,2003,147,6.6
Puss in Boots ,2011,90,6.7
Salt ,2010,101,6.4
Noah ,2014,138,5.8
The Adventures of Tintin ,2011,107,7.4
Harry Potter and the Prisoner of Azkaban ,2004,142,7.8
Australia ,2008,165,6.6
After Earth ,2013,100,4.9
Dinosaur ,2000,82,6.5
Harry Potter and the Deathly Hallows: Part II ,2011,,7.5
Night at the Museum: Secret of the Tomb ,2014,98,6.2
Megamind ,2010,95,7.3
Harry Potter and the Sorcerer's Stone ,2001,159,7.5
R.I.P.D. ,2013,96,5.6
Godzilla Resurgence ,2016,120,8.2
Pirates of the Caribbean: The Curse of the Black Pearl ,2003,143,8.1
Harry Potter and the Deathly Hallows: Part I ,2010,,6.4
The Hunger Games: Mockingjay - Part 1,2014,123,6.7
The Da Vinci Code ,2006,174,6.6
Rio 2,2014,101,6.4
X-Men 2,2003,134,7.5
Fast Five ,2011,132,7.3
Sherlock Holmes: A Game of Shadows ,2011,129,7.5
Clash of the Titans ,2010,106,5.8
Total Recall ,1990,113,7.5
The 13th Warrior,1999,102,6.6
The Bourne Legacy ,2012,135,6.7
Batman & Robin ,1997,125,3.7
How the Grinch Stole Christmas ,2000,110,6
The Day After Tomorrow ,2004,124,6.4
Mission: Impossible II ,2000,123,6.1
The Perfect Storm ,2000,130,6.4
Fantastic 4: Rise of the Silver Surfer,2007,92,5.6
Life of Pi ,2012,127,8
Ghost Rider ,2007,123,5.2
Jason Bourne ,2016,123,7.1
Charlie's Angels: Full Throttle ,2003,107,4.8
Prometheus ,2012,124,7
Stuart Little 2,2002,77,5.4
Elysium ,2013,109,6.6
The Chronicles of Riddick ,2004,134,6.7
RoboCop ,2014,117,6.2
Speed Racer ,2008,135,6.1
How Do You Know ,2010,121,5.3
Knight and Day ,2010,117,6.3
Oblivion ,2013,124,7
Star Wars: Episode III - Revenge of the Sith ,2005,140,7.6
Star Wars: Episode II - Attack of the Clones ,2002,142,6.7
"Monsters, Inc. ",2001,92,8.1
The Wolverine ,2013,138,6.7
Star Wars: Episode I - The Phantom Menace ,1999,136,6.5
The Croods ,2013,98,7.3
Asterix at the Olympic Games ,2008,116,5.1
Windtalkers ,2002,153,6
The Huntsman: Winter's War ,2016,120,6.1
Teenage Mutant Ninja Turtles ,2014,101,5.9
Gravity ,2013,91,7.8
Dante's Peak ,1997,108,5.8
Teenage Mutant Ninja Turtles: Out of the Shadows ,2016,112,6.3
Fantastic Four ,2015,100,4.3
Night at the Museum ,2006,108,6.4
San Andreas ,2015,114,6.1
Tomorrow Never Dies ,1997,119,6.5
The Patriot ,2000,142,7.1
Ocean's Twelve ,2004,125,6.4
Mr. & Mrs. Smith ,2005,126,6.5
Insurgent ,2015,119,6.3
The Aviator ,2004,170,7.5
Gulliver's Travels ,2010,85,4.9
The Green Hornet ,2011,119,5.8
The A-Team             ,,60,7.6
300: Rise of an Empire,2014,102,6.2
The Smurfs ,2011,103,5.5
Home on the Range ,2004,76,5.4
Allegiant ,2016,120,5.8
Real Steel ,2011,127,7.1
The Smurfs 2,2013,105,5.4
Speed 2: Cruise Control,1997,121,3.7
Ender's Game ,2013,114,6.7
Live Free or Die Hard ,2007,129,7.2
The Lord of the Rings: The Fellowship of the Ring ,2001,171,8.8
Around the World in 80 Days,2004,120,5.8
Ali ,2001,165,6.8
The Cat in the Hat ,2003,82,3.8
"I, Robot ",2004,115,7.1
Kingdom of Heaven ,2005,194,7.2
Stuart Little ,1999,84,5.9
The Princess and the Frog ,2009,97,7.1
The Martian ,2015,151,8.1
"10,000 B.C.",,22,7.2
The Island ,2005,136,6.9
Town & Country ,2001,104,4.4
Gone in Sixty Seconds ,2000,127,6.5
Gladiator ,2000,171,8.5
Minority Report ,2002,145,7.7
Harry Potter and the Chamber of Secrets ,2002,174,7.4
Casino Royale ,2006,144,8
Planet of the Apes ,2001,119,5.7
Terminator 2: Judgment Day,1991,153,8.5
Public Enemies ,2009,140,7
American Gangster ,2007,176,7.8
True Lies ,1994,141,7.2
The Taking of Pelham 1 2 3,2009,106,6.4
Little Fockers ,2010,98,5.5
The Other Guys ,2010,116,6.7
Eraser ,1996,115,6.1
Django Unchained ,2012,165,8.5
The Hunchback of Notre Dame ,1996,91,6.9
The Emperor's New Groove ,2000,78,7.3
The Expendables 2,2012,103,6.7
National Treasure ,2004,131,6.9
Eragon ,2006,104,5.1
Where the Wild Things Are ,2009,101,6.8
Pan ,2015,111,5.8
Epic ,2013,102,6.7
The Tourist ,2010,103,6
End of Days ,1999,121,5.7
Blood Diamond ,2006,143,8
The Wolf of Wall Street ,2013,240,8.2
Batman Forever ,1995,121,5.4
Starship Troopers ,1997,129,7.2
Cloud Atlas ,2012,172,7.5
Legend of the Guardians: The Owls of Ga'Hoole ,2010,101,7
Catwoman ,2004,87,3.3
Hercules ,2014,101,6
Treasure Planet ,2002,95,7.1
Land of the Lost ,2009,102,5.4
The Expendables 3,2014,131,6.1
Point Break ,2015,114,5.3
Son of the Mask ,2005,94,2.2
In the Heart of the Sea ,2015,122,7
The Adventures of Pluto Nash ,2002,95,3.8
Green Zone ,2010,115,6.9
The Peanuts Movie ,2015,88,7.2
The Spanish Prisoner ,1997,110,7.3
The Mummy Returns ,2001,130,6.3
Gangs of New York ,2002,216,7.5
The Flowers of War ,2011,146,7.6
Surf's Up ,2007,85,6.8
The Stepford Wives ,2004,93,5.2
Black Hawk Down ,2001,152,7.7
The Campaign ,2012,85,6.2
The Fifth Element ,1997,126,7.7
Sex and the City 2,2010,146,4.3
The Road to El Dorado ,2000,89,6.9
Ice Age: Continental Drift ,2012,88,6.6
Cinderella ,2015,105,7
The Lovely Bones ,2009,135,6.7
Finding Nemo ,2003,100,8.2
The Lord of the Rings: The Return of the King ,2003,192,8.9
The Lord of the Rings: The Two Towers ,2002,172,8.7
Seventh Son ,2014,102,5.5
Lara Croft: Tomb Raider ,2001,100,5.7
Transcendence ,2014,119,6.3
Jurassic Park III ,2001,92,5.9
Rise of the Planet of the Apes ,2011,105,7.6
The Spiderwick Chronicles ,2008,107,6.6
A Good Day to Die Hard ,2013,101,5.3
The Alamo ,2004,137,6
The Incredibles ,2004,115,8
Cutthroat Island ,1995,124,5.6
Percy Jackson & the Olympians: The Lightning Thief ,2010,118,5.9
Men in Black ,1997,98,7.3
Toy Story 2,1999,82,7.9
Unstoppable ,2010,98,6.8
Rush Hour 2,2001,90,6.6
What Lies Beneath ,2000,130,6.6
Cloudy with a Chance of Meatballs ,2009,90,7
Ice Age: Dawn of the Dinosaurs ,2009,94,7
The Secret Life of Walter Mitty ,2013,114,7.3
Charlie's Angels ,2000,94,5.5
The Departed ,2006,151,8.5
Mulan ,1998,88,7.5
Tropic Thunder ,2008,121,7
The Girl with the Dragon Tattoo ,2011,158,7.8
Die Hard with a Vengeance ,1995,128,7.6
Sherlock Holmes ,2009,128,7.6
Ben-Hur ,2016,141,6.1
Atlantis: The Lost Empire ,2001,95,6.8
Alvin and the Chipmunks: The Road Chip ,2015,92,5
Valkyrie ,2008,121,7.1
You Don't Mess with the Zohan ,2008,113,5.5
Pixels ,2015,106,5.6
A.I. Artificial Intelligence ,2001,146,7.1
The Haunted Mansion ,2003,88,4.9
Contact ,1997,150,7.4
Hollow Man ,2000,119,5.7
The Interpreter ,2005,128,6.4
Percy Jackson: Sea of Monsters ,2013,106,5.9
Lara Croft Tomb Raider: The Cradle of Life ,2003,117,5.5
Now You See Me 2,2016,129,6.9
The Saint ,1997,116,6.2
Spy Game ,2001,114,7
Mission to Mars ,2000,114,5.6
Rio ,2011,96,7
Bicentennial Man ,1999,132,6.8
Volcano ,1997,104,5.4
The Devil's Own ,1997,111,6.1
K-19: The Widowmaker,2002,138,6.7
Fantastic Four ,2015,100,4.3
Conan the Barbarian ,1982,129,6.9
Cinderella Man ,2005,144,8
The Nutcracker in 3D,2010,110,4.4
Seabiscuit ,2003,140,7.3
Twister ,1996,113,6.3
The Fast and the Furious ,2001,106,6.7
Cast Away ,2000,143,7.7
Happy Feet ,2006,108,6.5
The Bourne Supremacy ,2004,108,7.8
Air Force One ,1997,124,6.4
Ocean's Eleven ,2001,116,7.8
The Three Musketeers ,2011,110,5.8
Hotel Transylvania ,2012,91,7.1
Enchanted ,2007,107,7.1
Hannibal             ,,44,8.6
Safe House ,2012,115,6.8
102 Dalmatians,2000,100,4.8
Tower Heist ,2011,104,6.2
The Holiday ,2006,138,6.9
Enemy of the State ,1998,140,7.3
It's Complicated ,2009,120,6.6
Ocean's Thirteen ,2007,122,6.9
Open Season ,2006,83,6.2
Divergent ,2014,139,6.7
Enemy at the Gates ,2001,131,7.6
The Rundown ,2003,104,6.7
Last Action Hero ,1993,130,6.2
Memoirs of a Geisha ,2005,145,7.3
The Fast and the Furious: Tokyo Drift ,2006,104,6
Arthur Christmas ,2011,97,7.1
Meet Joe Black ,1998,178,7.1
Collateral Damage ,2002,108,5.5
All That Jazz ,1979,123,7.8
Mirror Mirror ,2012,106,5.6
Scott Pilgrim vs. the World ,2010,112,7.5
The Core ,2003,135,5.4
Nutty Professor II: The Klumps ,2000,109,4.3
Scooby-Doo ,2002,86,4.9
Dredd ,2012,95,7.1
Click ,2006,107,6.4
Creepshow ,1982,130,6.9
Cats & Dogs: The Revenge of Kitty Galore ,2010,82,4.3
Jumper ,2008,88,6.1
Hellboy II: The Golden Army ,2008,120,7
Zodiac ,2007,162,7.7
The 6th Day,2000,123,5.9
Bruce Almighty ,2003,101,6.7
The Expendables ,2010,113,6.5
Mission: Impossible ,1996,110,7.1
The Hunger Games ,2012,142,7.3
The Hangover Part II ,2011,102,6.5
Batman Returns ,1992,126,7
Over the Hedge ,2006,83,6.8
Lilo & Stitch ,2002,85,7.2
Charlotte's Web ,2006,97,6.4
Deep Impact ,1998,120,6.1
RED 2,2013,116,6.7
The Longest Yard ,2005,113,6.4
Alvin and the Chipmunks: Chipwrecked ,2011,87,4.4
Grown Ups 2,2013,101,5.4
Get Smart ,2008,110,6.5
Something's Gotta Give ,2003,128,6.7
Shutter Island ,2010,138,8.1
Four Christmases ,2008,88,5.6
Robots ,2005,91,6.3
Face/Off ,1997,138,7.3
Bedtime Stories ,2008,99,6.1
Road to Perdition ,2002,117,7.7
Just Go with It ,2011,117,6.4
Daredevil             ,,54,8.8
Con Air ,1997,123,6.8
Eagle Eye ,2008,118,6.6
Cold Mountain ,2003,154,7.2
The Book of Eli ,2010,118,6.9
Flubber ,1997,90,5.2
The Haunting ,1999,113,4.9
Space Jam ,1996,88,6.3
The Pink Panther ,2006,93,5.6
The Day the Earth Stood Still ,2008,104,5.5
Conspiracy Theory ,1997,135,6.7
Fury ,2014,134,7.6
Six Days Seven Nights ,1998,98,5.7
Yogi Bear ,2010,80,4.6
Spirit: Stallion of the Cimarron ,2002,83,7
Zookeeper ,2011,102,5.2
Lost in Space ,1998,130,5.1
The Manchurian Candidate ,2004,129,6.6
Déjà Vu ,1997,117,7
Hotel Transylvania 2,2015,89,6.7
Bewitched             ,,25,7.6
Fantasia 2000,1999,74,7.3
The Time Machine ,2002,96,5.9
Mighty Joe Young ,1998,114,5.6
Swordfish ,2001,99,6.5
The Legend of Zorro ,2005,129,5.9
What Dreams May Come ,1998,113,7
Little Nicky ,2000,90,5.3
The Brothers Grimm ,2005,118,5.9
Mars Attacks! ,1996,106,6.3
Evolution ,2015,81,6.4
The Edge ,1997,117,6.9
Surrogates ,2009,89,6.3
Thirteen Days ,2000,145,7.3
Daylight ,1996,114,5.8
Walking with Dinosaurs 3D,2013,87,5.2
Battlefield Earth ,2000,119,2.4
Looney Tunes: Back in Action ,2003,91,5.7
Nine ,2009,118,5.8
Timeline ,2003,116,5.6
The Postman ,1997,177,6
Babe: Pig in the City ,1998,97,5.8
The Last Witch Hunter ,2015,106,6
Red Planet ,2000,106,5.7
Arthur and the Invisibles ,2006,94,6
Oceans ,2009,104,7.8
A Sound of Thunder ,2005,102,4.2
Pompeii ,2014,105,5.6
Top Cat Begins ,2015,89,4.4
A Beautiful Mind ,2001,135,8.2
The Lion King ,1994,73,8.5
Journey 2: The Mysterious Island,2012,94,5.8
Cloudy with a Chance of Meatballs 2,2013,95,6.5
Red Dragon ,2002,124,7.2
Hidalgo ,2004,136,6.7
Jack and Jill ,2011,91,3.4
2 Fast 2 Furious,2003,107,5.9
The Little Prince ,2015,108,7.8
The Invasion ,2007,99,5.9
The Adventures of Rocky & Bullwinkle ,2000,92,4.1
The Secret Life of Pets ,2016,87,6.8
The League of Extraordinary Gentlemen ,2003,110,5.8
Despicable Me 2,2013,98,7.5
Independence Day ,1996,154,6.9
The Lost World: Jurassic Park ,1997,129,6.5
Madagascar ,2005,86,6.9
Children of Men ,2006,109,7.9
X-Men ,2000,104,7.4
Wanted ,2008,110,6.7
The Rock ,1996,136,7.4
Ice Age: The Meltdown ,2006,115,6.9
50 First Dates,2004,99,6.8
Hairspray ,2007,117,6.7
Exorcist: The Beginning ,2004,125,5.1
Inspector Gadget ,1999,110,4.1
Now You See Me ,2013,125,7.3
Grown Ups ,2010,102,6
The Terminal ,2004,128,7.3
Constantine             ,,43,7.5
Hotel for Dogs ,2009,100,5.4
Vertical Limit ,2000,124,5.9
Charlie Wilson's War ,2007,102,7.1
Shark Tale ,2004,90,6
Dreamgirls ,2006,130,6.5
Life             ,,45,8.3
Be Cool ,2005,118,5.7
Munich ,2005,163,7.6
Tears of the Sun ,2003,142,6.6
Killers ,2010,100,5.4
The Man from U.N.C.L.E. ,2015,116,7.3
Spanglish ,2004,131,6.5
Monster House ,2006,91,6.6
Bandits ,2001,123,6.6
First Knight ,1995,134,5.9
Anna and the King ,1999,148,6.7
Immortals ,2011,110,6.1
Hostage ,2005,113,6.6
Titan A.E. ,2000,94,6.6
Hollywood Homicide ,2003,116,5.3
Soldier ,1998,99,6
Carriers ,2009,84,6
Monkeybone ,2001,93,4.7
Flight of the Phoenix ,2004,113,6.1
Unbreakable ,2000,106,7.2
Minions ,2015,91,6.4
Sucker Punch ,2011,128,6.1
Snake Eyes ,1998,98,5.9
Sphere ,1998,134,6
The Angry Birds Movie ,2016,97,6.3
Fool's Gold ,2008,112,5.6
Funny People ,2009,153,6.4
The Kingdom ,2007,110,7.1
Talladega Nights: The Ballad of Ricky Bobby ,2006,122,6.6
Dr. Dolittle 2,2001,87,4.6
Braveheart ,1995,178,8.4
Jarhead ,2005,125,7.1
The Simpsons Movie ,2007,87,7.4
The Majestic ,2001,152,6.9
Driven ,2001,116,4.5
Two Brothers ,2004,109,7.1
The Village ,2004,108,6.5
Doctor Dolittle ,1998,85,5.3
Signs ,2002,106,6.7
Shrek 2,2004,93,7.2
Cars ,2006,117,7.2
Runaway Bride ,1999,116,5.5
xXx ,2002,132,5.8
The SpongeBob Movie: Sponge Out of Water ,2015,92,6
Ransom ,1996,139,6.6
Inglourious Basterds ,2009,153,8.3
Hook ,1991,142,6.7
Hercules ,2014,101,6
Die Hard 2,1990,124,7.1
S.W.A.T. ,2003,117,6
Sleepy Hollow             ,,45,7.5
Vanilla Sky ,2001,141,6.9
Lady in the Water ,2006,110,5.6
AVP: Alien vs. Predator ,2004,109,5.6
Alvin and the Chipmunks: The Squeakquel ,2009,88,4.5
We Were Soldiers ,2002,124,7.1
Olympus Has Fallen ,2013,119,6.5
Star Trek: Insurrection ,1998,103,6.4
Battle Los Angeles ,2011,116,5.8
Big Fish ,2003,125,8
Wolf ,1994,125,6.2
War Horse ,2011,146,7.2
The Monuments Men ,2014,118,6.1
The Abyss ,1989,171,7.6
Wall Street: Money Never Sleeps ,2010,136,6.3
Dracula Untold ,2014,92,6.3
The Siege ,1998,116,6.3
Stardust ,2007,127,7.7
Seven Years in Tibet ,1997,136,7
The Dilemma ,2011,111,5.3
Bad Company ,2002,116,5.6
Doom ,2005,113,5.2
I Spy ,2002,97,5.4
Underworld: Awakening ,2012,88,6.4
Rock of Ages ,2012,136,5.9
Hart's War ,2002,125,6.3
Killer Elite ,2011,116,6.5
Rollerball ,2002,98,3
Ballistic: Ecks vs. Sever ,2002,91,3.6
Hard Rain ,1998,97,5.8
Osmosis Jones ,2001,95,6.2
Legends of Oz: Dorothy's Return ,2013,88,5.6
Blackhat ,2015,133,5.4
Sky Captain and the World of Tomorrow ,2004,106,6.1
Basic Instinct 2,2006,116,4.2
Escape Plan ,2013,115,6.7
The Legend of Hercules ,2014,99,4.2
The Sum of All Fears ,2002,124,6.4
The Twilight Saga: Eclipse ,2010,124,4.9
The Score ,2001,124,6.8
Despicable Me ,2010,87,7.7
Money Train ,1995,105,5.6
Ted 2,2015,125,6.4
Agora ,2009,141,7.2
Mystery Men ,1999,121,6
Hall Pass ,2011,111,5.9
The Insider ,1999,157,7.9
The Finest Hours ,2016,117,6.8
Body of Lies ,2008,128,7.1
Dinner for Schmucks ,2010,114,5.9
Abraham Lincoln: Vampire Hunter ,2012,105,5.9
Entrapment ,1999,113,6.2
Last Man Standing             ,,30,7.4
The X Files ,1998,121,7
The Last Legion ,2007,102,5.4
Saving Private Ryan ,1998,169,8.6
Need for Speed ,2014,132,6.5
What Women Want ,2000,127,6.4
Ice Age ,2002,103,7.6
Dreamcatcher ,2003,136,5.5
Lincoln ,2012,150,7.4
The Matrix ,1999,136,8.7
Apollo 13,1995,140,7.6
Total Recall ,1990,113,7.5
The Santa Clause 2,2002,104,5.5
Les Misérables ,2012,158,7.6
You've Got Mail ,1998,119,6.5
Step Brothers ,2008,106,6.9
The Mask of Zorro ,1998,136,6.7
Due Date ,2010,95,6.6
Unbroken ,2014,137,7.2
Space Cowboys ,2000,130,6.4
Cliffhanger ,1993,124,6.4
Broken Arrow ,1996,108,6
The Kid ,2000,104,6.1
World Trade Center ,2006,129,6
Mona Lisa Smile ,2003,117,6.4
The Dictator ,2012,99,6.4
Eyes Wide Shut ,1999,159,7.3
Annie ,2014,118,5.2
Focus ,2015,105,6.6
This Means War ,2012,103,6.3
Blade: Trinity ,2004,122,5.9
Red Dawn ,1984,114,6.4
Primary Colors ,1998,143,6.7
Resident Evil: Retribution ,2012,96,5.4
Death Race ,2008,111,6.4
The Long Kiss Goodnight ,1996,121,6.7
Proof of Life ,2000,135,6.2
Zathura: A Space Adventure ,2005,101,6.1
Fight Club ,1999,151,8.8
We Are Marshall ,2006,131,7.1
The Missing             ,,60,8.1
Hudson Hawk ,1991,100,5.7
Lucky Numbers ,2000,105,5
"I, Frankenstein ",2014,92,5.1
Oliver Twist ,2005,130,6.9
Elektra ,2005,100,4.8
Sin City: A Dame to Kill For ,2014,102,6.5
Random Hearts ,1999,133,5.1
Everest ,2015,121,7.1
Perfume: The Story of a Murderer ,2006,147,7.5
Austin Powers in Goldmember ,2002,94,6.2
Astro Boy ,2009,94,6.3
Jurassic Park ,1993,127,8.1
Wyatt Earp ,1994,212,6.6
Clear and Present Danger ,1994,141,6.9
Dragon Blade ,2015,103,6.1
Littleman ,2006,98,4.3
U-571,2000,116,6.6
The American President ,1995,114,6.8
The Love Guru ,2008,87,3.8
3000 Miles to Graceland,2001,125,5.9
The Hateful Eight ,2015,187,7.9
Blades of Glory ,2007,93,6.3
Hop ,2011,95,5.5
300,2006,117,7.7
Meet the Fockers ,2004,106,6.3
Marley & Me ,2008,115,7.1
The Green Mile ,1999,189,8.5
Wild Hogs ,2007,100,5.9
Chicken Little ,2005,81,5.8
Gone Girl ,2014,149,8.1
The Bourne Identity ,2002,119,7.9
GoldenEye ,1995,130,7.2
The General's Daughter ,1999,116,6.3
The Truman Show ,1998,103,8.1
The Prince of Egypt ,1998,99,7
Daddy Day Care ,2003,92,5.5
2 Guns,2013,109,6.7
Cats & Dogs ,2001,87,5.2
The Italian Job ,2003,111,7
Two Weeks Notice ,2002,101,6.1
Antz ,1998,83,6.6
Couples Retreat ,2009,113,5.5
Days of Thunder ,1990,107,5.9
Cheaper by the Dozen 2,2005,94,5.4
The Scorch Trials ,2015,132,6.4
Eat Pray Love ,2010,140,5.7
The Family Man ,2000,125,6.7
RED ,2010,111,7.1
Any Given Sunday ,1999,156,6.8
The Horse Whisperer ,1998,170,6.5
Collateral ,2004,120,7.6
The Scorpion King ,2002,100,5.5
Ladder 49,2004,115,6.5
Jack Reacher ,2012,130,7
Deep Blue Sea ,1999,105,5.8
